"STATION","NAME","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","1950","870","       13","         6","6","4","3.5","1.59","95","4744","36.95","16.0","53.6","61.2","45.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1951","1055","       11","         4","8","3","2.5","2.20","94","4564","43.78","8.8","55.1","63.0","47.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1952","1258","       12","         9","8","6","5.5","1.95","100","4646","41.58","26.2","55.8","63.3","48.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1953","1282","        6","         3","14","3","2.2","2.61","102","4399","45.24","7.7","57.0","64.9","49.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1954","1068","       11","         4","7","9","5.4","2.90","100","4419","35.62","13.8","54.9","62.9","46.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1955","1277","       12","         4","0","3","3.6","3.62","100","4789","39.94","15.8","54.6","62.5","46.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1956","902","       13","         6","14","13","7.8","2.41","99","5387","36.28","30.2","53.5","60.7","46.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1957","1229","       19","         7","0","8","7.5","2.55","101","4781","36.52","29.8","55.4","63.1","47.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1958","909","       39","        10","3","10","7.1","2.19","93","5010","40.95","39.8","52.5","59.5","45.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1959","1416","       14","         4","7","14","10.3","1.80","97","5185","38.78","25.6","55.4","63.2","47.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1960","978","       31","         9","8","15","12.5","3.56","91","4898","46.43","41.6","54.0","61.5","46.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1961","1344","       43","         9","-2","24","11.4","2.10","97","5110","39.36","43.8","55.0","62.7","47.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1962","977","       17","         6","4","3","2.9","2.33","99","4738","37.17","15.0","53.4","61.5","45.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1963","920","       25","         9","-2","6","6.0","2.96","98","5328","34.31","23.0","53.5","61.8","45.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1964","1033","       28","        10","9","13","11.5","1.29","99","4859","33.02","36.5","54.5","62.7","46.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1965","991","       21","         8","9","6","6.3","1.35","95","5015","26.12","21.3","54.2","62.0","46.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1966","1322","       28","         9","8","8","6.7","5.54","103","4818","39.91","30.4","55.0","63.0","47.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1967","989","       28","        13","4","13","12.5","2.15","96","5236","49.14","51.2","52.9","60.6","45.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1968","1109","       21","         5","-1","5","5.5","3.99","98","5246","43.60","17.8","54.0","62.0","46.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1969","1199","       34","         9","11","15","14.0","3.32","97","4770","48.54","30.0","54.8","62.1","47.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1970","1269","       39","         9","3","4","4.0","2.63","94","5283","35.31","21.3","54.2","61.7","46.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1971","1305","        8","         4","4","6","6.4","4.16","96","5057","56.79","13.1","55.2","62.3","48.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1972","1033","       16","         8","5","5","5.7","5.60","94","4743","67.05","22.9","53.8","61.4","46.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1973","1259","        7","         3","7","3","1.8","3.67","98","4797","57.25","5.6","56.0","63.8","48.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1974","1062","       29","         6","6","6","6.0","3.26","95","4594","47.74","20.9","54.7","62.5","46.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1975","993","       12","         4","15","8","7.8","2.30","98","4771","61.22","15.3","54.9","62.3","47.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1976","1049","       24","        10","-1","4","4.0","3.90","96","4660","41.31","20.1","53.3","61.4","45.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1977","1234","       40","         7","-2","6","5.0","7.40","104","5502","54.73","20.0","54.3","61.6","47.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1978","992","       52","        13","10","18","15.5","3.38","95","5427","49.81","52.8","52.9","60.1","45.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1979","1185","       19","         7","0","16","12.7","3.45","95","4826","52.15","30.2","55.7","62.8","48.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980","1405","        7","         7","-1","2","3.6","3.47","102","4521","44.59","12.1","54.9","62.6","47.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1981","1206","       22","         5","2","6","8.6","1.77","96","4953","38.12","18.7","55.2","62.3","48.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1982","1034","       24","         5","0","9","9.6","2.73","98","5074","41.41","25.5","54.8","62.1","47.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1983","1402","       18","         5","4","19","12.5","4.31","99","4378","80.57","25.8","56.0","63.2","48.7"
